Copa America 2020 final | Messi eyes first major title with Argentina,https://www.thehindu.com/sport/football/copa-america-2020-final-messi-eyes-first-major-title-with-argentina/article35242267.ece,Sun, 11 Jul 2021 08:01:34 +0530
Euro 2020 final | England keen to end painful trophy drought,https://www.thehindu.com/sport/football/euro-2020-final-england-keen-to-end-painful-trophy-drought/article35241701.ece,Fri, 09 Jul 2021 22:55:32 +0530
England face disciplinary probe over laser pen shone at Schmeichel,https://www.thehindu.com/sport/football/england-face-disciplinary-probe-over-laser-pen-shone-at-schmeichel/article35222492.ece,Thu, 08 Jul 2021 22:29:01 +0530
Ex-Madrid captain Sergio Ramos signs 2-year deal with PSG,https://www.thehindu.com/sport/football/ex-madrid-captain-sergio-ramos-signs-2-year-deal-with-psg/article35212158.ece,Thu, 08 Jul 2021 17:26:26 +0530
Father, son take football rivalry to next level with splashes of colours,https://www.thehindu.com/news/national/kerala/father-son-take-football-rivalry-to-next-level-with-splashes-of-colours/article35207917.ece,Thu, 08 Jul 2021 13:29:05 +0530
Euro 2020 | England enter final after ending Denmark’s dream run,https://www.thehindu.com/sport/football/euro-2020-england-enter-final-after-ending-denmarks-dream-run/article35204418.ece,Thu, 08 Jul 2021 07:51:39 +0530
Chennaiyin FC signs custodian Debjit,https://www.thehindu.com/sport/football/chennaiyin-fc-signs-custodian-debjit/article35201248.ece,Thu, 08 Jul 2021 07:50:33 +0530
Chennaiyin FC signs Debjit Majumder,https://www.thehindu.com/sport/football/chennaiyin-fc-signs-debjit-majumder/article35185628.ece,Wed, 07 Jul 2021 13:16:40 +0530
Paris Saint-Germain signs Morocco right-back Achraf Hakimi,https://www.thehindu.com/sport/football/paris-saint-germain-signs-morocco-right-back-achraf-hakimi/article35183483.ece,Thu, 08 Jul 2021 17:25:57 +0530
Argentina beat Colombia in shootout to reach Copa America final,https://www.thehindu.com/sport/football/argentina-beat-colombia-in-shootout-to-reach-copa-america-final/article35183443.ece,Wed, 07 Jul 2021 09:47:36 +0530
Euro 2020 | Italy hold nerve to beat Spain on penalties and reach final,https://www.thehindu.com/sport/football/euro-2020-italy-hold-nerve-to-beat-spain-on-penalties-and-reach-final/article35182298.ece,Thu, 08 Jul 2021 07:51:29 +0530
Euro 2020 | Defensively solid England takes on a resilient Denmark,https://www.thehindu.com/sport/football/euro-2020-defensively-solid-england-takes-on-a-resilient-denmark/article35179904.ece,Wed, 07 Jul 2021 07:33:04 +0530
Brazil beats Peru 1-0 to advance to Copa America final,https://www.thehindu.com/sport/football/brazil-beats-peru-1-0-to-advance-to-copa-america-final/article35160840.ece,Tue, 06 Jul 2021 07:36:26 +0530
Italy appears to have the edge over Spain,https://www.thehindu.com/sport/football/euro-2020-semifinals-italy-appears-to-have-the-edge-over-spain/article35158356.ece,Tue, 06 Jul 2021 07:36:08 +0530
Argentina looks to Messi to deliver ,https://www.thehindu.com/sport/football/copa-america-argentina-looks-to-messi-to-deliver/article35157598.ece,Tue, 06 Jul 2021 07:36:17 +0530
Denmark taking Eriksen inspiration to Wembley at Euro 2020,https://www.thehindu.com/sport/football/denmark-taking-eriksen-inspiration-to-wembley-at-euro-2020/article35132943.ece,Sun, 04 Jul 2021 17:19:29 +0530
Colombia head to Copa semis after penalties win over Uruguay,https://www.thehindu.com/sport/football/colombia-head-to-copa-semis-after-penalties-win-over-uruguay/article35130027.ece,Sun, 04 Jul 2021 07:38:40 +0530
England hammer Ukraine 4-0 to enter Euro semifinals ,https://www.thehindu.com/sport/football/england-hammer-ukraine-4-0-to-enter-euro-semifinals/article35129011.ece,Sun, 04 Jul 2021 07:39:28 +0530
